script,category,has_argparse,has_year_args,has_date_window,has_drop_table,has_create_view,recommended_action
create_phase3_sector_index_full_views.py,view_rebuild_only,False,False,False,False,True,保留为视图刷新脚本，可由 create-views 或模块 post-step 调用
create_phase3_trading_technical_full_views.py,view_rebuild_only,False,False,False,False,True,保留为视图刷新脚本，可由 create-views 或模块 post-step 调用
create_phase3_valuation_size_full_view.py,view_rebuild_only,False,False,False,False,True,保留为视图刷新脚本，可由 create-views 或模块 post-step 调用
generate_phase3_capital_flow_audit.py,audit_report,False,False,False,False,False,保留为审计脚本，Phase4 接入统一 audit 命令
generate_phase3_composite_state_audit.py,audit_report,False,False,False,False,False,保留为审计脚本，Phase4 接入统一 audit 命令
generate_phase3_corporate_action_audit.py,audit_report,False,False,False,False,False,保留为审计脚本，Phase4 接入统一 audit 命令
generate_phase3_cross_sectional_audit.py,audit_report,False,False,False,False,False,保留为审计脚本，Phase4 接入统一 audit 命令
generate_phase3_financial_growth_batch1_audit.py,audit_report,False,False,False,False,False,保留为审计脚本，Phase4 接入统一 audit 命令
generate_phase3_financial_growth_full_audit.py,audit_report,False,False,False,False,False,保留为审计脚本，Phase4 接入统一 audit 命令
generate_phase3_financial_growth_hybrid_audit.py,audit_report,False,False,True,False,False,保留为审计脚本，Phase4 接入统一 audit 命令
generate_phase3_financial_stage1_audit.py,audit_report,False,False,False,False,False,保留为审计脚本，Phase4 接入统一 audit 命令
generate_phase3_full_audit_report.py,audit_report,False,False,False,False,False,保留为审计脚本，Phase4 接入统一 audit 命令
generate_phase3_ownership_governance_audit.py,audit_report,False,False,False,False,False,保留为审计脚本，Phase4 接入统一 audit 命令
generate_phase3_sector_index_audit.py,audit_report,False,False,False,False,False,保留为审计脚本，Phase4 接入统一 audit 命令
generate_phase3_trading_technical_audit.py,audit_report,False,False,True,False,False,保留为审计脚本，Phase4 接入统一 audit 命令
generate_phase3_valuation_size_audit.py,audit_report,False,False,True,False,False,保留为审计脚本，Phase4 接入统一 audit 命令
phase3_cross_sectional_config.py,review_needed,False,False,False,False,False,人工复核用途和增量边界
register_phase3_capital_flow.py,registry_maintenance,False,False,False,False,False,保留为注册维护脚本，不进入日批
register_phase3_composite_state.py,registry_maintenance,False,False,False,False,False,保留为注册维护脚本，不进入日批
register_phase3_corporate_action.py,registry_maintenance,False,False,False,False,False,保留为注册维护脚本，不进入日批
register_phase3_cross_sectional.py,registry_maintenance,False,False,False,False,False,保留为注册维护脚本，不进入日批
register_phase3_financial_growth.py,registry_maintenance,False,False,False,False,False,保留为注册维护脚本，不进入日批
register_phase3_financial_growth_hybrid.py,registry_maintenance,False,False,False,False,False,保留为注册维护脚本，不进入日批
register_phase3_ownership_governance.py,registry_maintenance,False,False,False,False,False,保留为注册维护脚本，不进入日批
register_phase3_sector_index_context.py,registry_maintenance,False,False,False,False,False,保留为注册维护脚本，不进入日批
register_phase3_trading_technical.py,registry_maintenance,False,False,False,False,False,保留为注册维护脚本，不进入日批
register_phase3_valuation_size.py,registry_maintenance,False,False,False,False,False,保留为注册维护脚本，不进入日批
reset_phase3_composite_state_table.py,full_rebuild_only,False,False,False,True,False,仅全量重建/结构变更使用，日批禁止调用
reset_phase3_corporate_action_table.py,full_rebuild_only,False,False,False,True,False,仅全量重建/结构变更使用，日批禁止调用
reset_phase3_cross_sectional_table.py,full_rebuild_only,False,False,False,True,False,仅全量重建/结构变更使用，日批禁止调用
reset_phase3_financial_growth_core_table.py,full_rebuild_only,False,False,False,True,False,仅全量重建/结构变更使用，日批禁止调用
reset_phase3_ownership_governance_table.py,full_rebuild_only,False,False,False,True,False,仅全量重建/结构变更使用，日批禁止调用
reset_phase3_trading_technical_tables.py,full_rebuild_only,False,False,False,True,False,仅全量重建/结构变更使用，日批禁止调用
run_phase3_capital_flow_core.py,review_needed,False,False,False,False,False,人工复核用途和增量边界
run_phase3_financial_growth_batch1.py,review_needed,False,False,False,False,False,人工复核用途和增量边界
run_phase3_financial_growth_quality_batch.py,review_needed,False,False,False,False,False,人工复核用途和增量边界
run_phase3_history_build.py,review_needed,True,False,False,False,False,人工复核用途和增量边界
run_phase3_trading_technical_core.py,review_needed,False,False,False,False,False,人工复核用途和增量边界
run_phase3_valuation_size_core.py,review_needed,False,False,False,False,False,人工复核用途和增量边界
sync_phase3_sw_industry_enhanced.py,external_full_sync,True,False,False,False,False,外部Tushare全量同步工具；写入需 --confirm-full-refresh，日批禁止调用
